"id_station","lon","lat"
"station_1",34,4
"station_2",31,3.5
"station_3",31.5,3.5
"station_4",32,3.5
"station_5",32.5,3.5
"station_6",33,3.5
"station_7",33.5,3.5
"station_8",34,3.5
"station_9",31,3
"station_10",31.5,3
"station_11",32,3
"station_12",32.5,3
"station_13",33,3
"station_14",33.5,3
"station_15",34,3
"station_16",34.5,3
"station_17",31,2.5
"station_18",31.5,2.5
"station_19",32,2.5
"station_20",32.5,2.5
"station_21",33,2.5
"station_22",33.5,2.5
"station_23",34,2.5
"station_24",34.5,2.5
"station_25",31.5,2
"station_26",32,2
"station_27",32.5,2
"station_28",33,2
"station_29",33.5,2
"station_30",34,2
"station_31",34.5,2
"station_32",31,1.5
"station_33",31.5,1.5
"station_34",32,1.5
"station_35",32.5,1.5
"station_36",33,1.5
"station_37",33.5,1.5
"station_38",34,1.5
"station_39",34.5,1.5
"station_40",30.5,1
"station_41",31,1
"station_42",31.5,1
"station_43",32,1
"station_44",32.5,1
"station_45",33,1
"station_46",33.5,1
"station_47",34,1
"station_48",30,0.5
"station_49",30.5,0.5
"station_50",31,0.5
"station_51",31.5,0.5
"station_52",32,0.5
"station_53",32.5,0.5
"station_54",33,0.5
"station_55",33.5,0.5
"station_56",34,0.5
"station_57",30,0
"station_58",30.5,0
"station_59",31,0
"station_60",31.5,0
"station_61",32,0
"station_62",32.5,0
"station_63",33,0
"station_64",33.5,0
"station_65",30,-0.5
"station_66",30.5,-0.5
"station_67",31,-0.5
"station_68",31.5,-0.5
"station_69",32,-0.5
"station_70",32.5,-0.5
"station_71",33,-0.5
"station_72",33.5,-0.5
"station_73",30,-1
"station_74",30.5,-1
